frame_name		left	top	right	bottom
normal0		327	8	345	39
normal		81	8	101	39
walk_right_01		119	8	134	39
walk_right_02		136	8	153	39
walk_right_03		155	8	175	39
jump		177	15	195	39
jump_look_up		520	8	537	39
roll_down_01		271	27	283	39
roll_down_02		285	27	297	39
roll_down_03		299	27	311	39
roll_down_04		313	27	325	39
look_up		103	2	116	39
run_look_up_01		463	2	475	39
run_look_up_02		480	2	497	39
run_look_up_03		499	2	517	39
run_attack_01		349	9	369	39
run_attack_02		371	9	393	39
run_attack_03		395	9	420	39
run_jump_01		197	17	211	39
run_jump_02		213	25	232	39
run_jump_03		234	17	248	39
run_jump_04		250	25	269	39
jump_attack		422	15	445	39			
