frame_name		left	top	right	bottom
boss_normal_01		7	15	87	80
boss_normal_02		89	15	169	80
boss_normal_03		171	15	251	80
boss_normal_04		253	15	333	80
boss_normal_05		7	86	87	151
boss_normal_06		89	86	169	151
boss_normal_07		171	86	251	151
boss_normal_08		253	86	333	151
boss_shield_break_01	7	156	87	221
boss_shield_break_02	89	156	169	221
boss_shield_break_03	171	156	251	221
boss_shield_break_04	253	156	333	221
boss_shield_break_05	7	227	87	292
boss_shield_break_06	89	227	169	292
boss_shield_break_07	171	227	251	292
boss_shield_break_08	253	227	333	292
canon_01		7	373	21	394
canon_02		32	377	49	394
canon_03		60	380	80	394
canon_04		91	377	108	394
canon_05		119	377	136	394
canon_06		147	373	161	394
canon_07		172	380	192	394
canon_08		203	377	220	394
canon_boom_01		7	407	21	421
canon_boom_02		32	407	46	421
canon_bullet_01		7	434	12	442
canon_bullet_02		23	435	30	442
canon_bullet_03		41	437	49	442
canon_bullet_04		60	435	67	442
canon_bullet_05		78	434	83	442
canon_bullet_06		94	435	101	442
canon_bullet_07		112	455	120	442
canon_bullet_08		131	451	138	442
bullet_explosion_01	7	455	15	463
bullet_explosion_02	27	451	41	463
zeebetite_01	7	476	22	508
zeebetite_02	33	476	45	508
zeebetite_03	56	476	64	508
zeebetite_04	75	476	79	508
boss_hurt_01		7	295	87	360
boss_hurt_02		89	295	169	360
